product_id,dataset_row_index,csv_file_line_number,aspect_category,review_rating_stars,review_date,review_text_snippet
Product_A,990,992,battery,5.0,2016-04-19,"Great when you have to charge a bunch of stuff... which is not exactly why I purchased it, but discovered it wouldn't work for that (a user problem).."
Product_A,986,988,battery,5.0,2016-04-17,Gave it as a gift to my great niece to put her new Kindle Fire for kids in it. She already had Kindle in a rubber cover but it fits all of it and her 
Product_A,995,997,sound,1.0,2016-04-29,I bought these fans because the fans in my case were getting old.  I put the fans in and the were not moving very much air at all and one of the fans 
Product_A,982,984,sound,3.0,2016-04-12,I would recommend these for anyone that does traveling! I use these in the gym and they would great for blocking sound out while listening to music. T
Product_B,1995,1997,battery,4.0,2019-01-04,"Water proof and the powerful sound is terrific;  just what I need for a speaker at a small home. This is substantial equipment, I just weighed it on m"
Product_B,1992,1994,battery,2.0,2019-01-03,"So I have mixed feelings-<br />Go by the size chart they have, not by the measurements.<br />I have the old MacBook Pro (Late 2013 Version) and was go"
Product_B,1995,1997,sound,4.0,2019-01-04,"Water proof and the powerful sound is terrific;  just what I need for a speaker at a small home. This is substantial equipment, I just weighed it on m"
Product_B,1994,1996,sound,2.0,2019-01-04,[[VIDEOID:f3558a6fff96bdd2e36237f96cd5b891]] I have no idea how much these cost but the sound quality is disappointing  to me. Setup was easy. All I h
Product_C,2997,2999,battery,5.0,2020-06-24,"This APROCA HARD STORAGE TRAVEL CASE FOR DREMEL VERSA CLEANING TOOL PC10 is absolutely perfect!  The Dremel Versa fits in one half of the case, along "
Product_C,2986,2988,battery,2.0,2020-06-22,"Both my boyfriend and I each bought one of these cables in the teal blue because we liked the color and the 10-foot length. At my house, this cable wo"
Product_C,2999,3001,sound,1.0,2020-06-24,"Yep this company refuses to cover my surround sound system they say the plan was for the portable Bose speaker only that I paid $120 for,  the surroun"
Product_C,2991,2993,sound,5.0,2020-06-24,I really like these wireless earphones. They are very comfortable and have great sound. The controls are really nice. I love how you can skip a song j
Product_D,3987,3989,battery,4.0,2021-08-10,"The physical perks of a MacBook Air are its thin, light and streamlined design- yet, thin and light has disadvantages when it comes to the built in po"
Product_D,3978,3980,battery,4.0,2021-08-05,Works great for the most part.  I don’t like the volume controls on the mask itself because the volume will not change unless you hold the buttons dow
Product_D,3989,3991,sound,5.0,2021-08-10,"I ordered these because I can no longer wear earbuds. I wear hearing aids, so...  No room for both.  I used them this morning 😊 OMGogh perfect!! I eve"
Product_D,3978,3980,sound,4.0,2021-08-05,Works great for the most part.  I don’t like the volume controls on the mask itself because the volume will not change unless you hold the buttons dow
Product_E,4999,5001,battery,5.0,2023-03-16,I needed a vacuum to clean the areas of my desk that are cluttered with the many cords from my many electronics as well as my keyboard. My IT guys hav
Product_E,4998,5000,battery,1.0,2023-03-16,Dang electric cord just simply broke off one day. Not thrilled with loading the charger either because the springs are to strong. Look elsewhere for a
Product_E,4966,4968,sound,4.0,2023-02-22,"If you're not really picky about the sound of your earbuds,these are for you. Slightly tinny, but for the price, they are well worth it"
Product_E,4961,4963,sound,5.0,2023-02-17,I've bought these headphones three times because I love them so much and overuse them and find ways to break the plug to where I can't use my warranty
